"TensorFlow 1.12+

Symbol as expressed in TensorFlow 1.12+.

","TensorFlow 2.0 (tf_upgrade_v2)

Indicates that endpoint (name and/or arguments) has been modified in TensorFlow 2.0. ","TensorFlow 2.0 

Equivalent symbol in TensorFlow 2.0.

Note: tensorflow/addons not yet included.

"
tf.AggregationMethod,,tf.AggregationMethod
tf.Assert,,tf.Assert
tf.AttrValue,tf.compat.v1.AttrValue,
tf.ConditionalAccumulator,tf.compat.v1.ConditionalAccumulator,
tf.ConditionalAccumulatorBase,tf.compat.v1.ConditionalAccumulatorBase,
tf.ConfigProto,tf.compat.v1.ConfigProto,
tf.DType,,tf.DType
tf.DeviceSpec,tf.compat.v1.DeviceSpec,
tf.Dimension,tf.compat.v1.Dimension,
tf.Event,tf.compat.v1.Event, 
tf.FIFOQueue,tf.queue.FIFOQueue,
tf.FixedLenFeature,tf.io.FixedLenFeature,
tf.FixedLenSequenceFeature,tf.io.FixedLenSequenceFeature,
tf.FixedLengthRecordReader,tf.compat.v1.FixedLengthRecordReader,
tf.GPUOptions,tf.compat.v1.GPUOptions,
tf.GradientTape,,tf.GradientTape
tf.Graph,,tf.Graph
tf.GraphDef,tf.compat.v1.GraphDef,
tf.GraphKeys,tf.compat.v1.GraphKeys,
tf.GraphOptions,tf.compat.v1.GraphOptions,
tf.HistogramProto,tf.compat.v1.HistogramProto,
tf.IdentityReader,tf.compat.v1.IdentityReader,
tf.IndexedSlices,,tf.IndexedSlices
tf.InteractiveSession,tf.compat.v1.InteractiveSession,
tf.LMDBReader,tf.compat.v1.LMDBReader,
tf.LogMessage,tf.compat.v1.LogMessage,
tf.MetaGraphDef,tf.compat.v1.MetaGraphDef,
tf.NameAttrList,tf.compat.v1.NameAttrList,
tf.NoGradient,tf.no_gradient,
tf.NodeDef,tf.compat.v1.NodeDef,
tf.NotDifferentiable,tf.no_gradient,
tf.OpError,tf.errors.OpError,
tf.Operation,,tf.Operation
tf.OptimizerOptions,tf.compat.v1.OptimizerOptions,
tf.PaddingFIFOQueue,tf.queue.PaddingFIFOQueue,
tf.Print,tf.compat.v1.Print,tf.print
tf.PriorityQueue,tf.queue.PriorityQueue,
tf.QueueBase,tf.queue.QueueBase,
tf.RandomShuffleQueue,tf.queue.RandomShuffleQueue,
tf.ReaderBase,tf.compat.v1.ReaderBase,
tf.RegisterGradient,,tf.RegisterGradient
tf.RunMetadata,tf.compat.v1.RunMetadata,
tf.RunOptions,tf.compat.v1.RunOptions,
tf.Session,tf.compat.v1.Session,
tf.SessionLog,tf.compat.v1.SessionLog,
tf.SparseConditionalAccumulator,tf.sparse.SparseConditionalAccumulator,
tf.SparseFeature,tf.io.SparseFeature,
tf.SparseTensor,,tf.SparseTensor
